league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
39,Premier League,England,2025,League,1,2025-08-15,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.274260+00:00
42,League Two,England,2025,League,1,2025-08-02,2026-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.276917+00:00
61,Ligue 1,France,2025,League,1,2025-08-15,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.278998+00:00
136,Serie B,Italy,2025,League,1,2025-08-22,2026-05-22,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.281040+00:00
141,Segunda División,Spain,2025,League,1,2025-08-15,2026-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.282884+00:00
144,Jupiler Pro League,Belgium,2025,League,1,2025-07-25,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.284616+00:00
179,Premiership,Scotland,2025,League,1,2025-08-02,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.286495+00:00
183,League One,Scotland,2025,League,1,2025-08-02,2026-05-15,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-15T13:00:59.288268+00:00
203,Süper Lig,Turkey,2025,League,1,2025-08-08,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.290188+00:00
204,1. Lig,Turkey,2025,League,1,2025-08-08,2026-05-15,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.292289+00:00
301,Pro League,United-Arab-Emirates,2025,League,1,2025-08-16,2026-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-15T13:00:59.295250+00:00
362,A Lyga,Lithuania,2026,League,1,2026-02-21,2026-06-21,1,1,1,1,1,0,0,0,0,1,0,0,0,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-15T13:00:59.298077+00:00
382,Liga Leumit,Israel,2025,League,1,2025-08-24,2026-05-25,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-15T13:00:59.299732+00:00
