target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-08,2026-06-08T19:12:49+01:00,operator_gate,BROKEN,action=BROKEN; final=SYSTEM_FIX_REQUIRED; risk=HIGH; health=BROKEN; board_rows=1,Use this as the first read; never override BROKEN/NO_BET gates.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,executable_prematch,NONE,no prematch executable rows,"Only rows here can be discussed as prematch executable, still manual-only.",NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,live_only,NONE,no live-only rows,Wait for live trigger confirmation; no chase outside window.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,watchlist,NONE,no watchlist rows,Observation only unless promoted by later gates.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,no_bet,ROWS=1,count=1; top=#0 | NO_BET | NO_PROMOTED_RAW_CANDIDATES vs NO_SCORING_SAFE_ROWS | market=NO_MARKET | stake=NO_STAKE | permission=NO_BET | score=0,Do not fill ranking from blocked rows.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,api_coverage,OK,rows=1; source_guard=PROMOTION_GATE_DIAGNOSTIC_ONLY=1; permission=NO_BET=1; avg_coverage=UNKNOWN; warnings=no promoted raw candidates=1,Coverage gaps block promotion; do not infer missing data.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,official_probable_lineups,OK,files=2; rows=40; statuses=UNKNOWN=1; LEARNING_ONLY=1; IMPORTED=6,Probables do not become official; quarantine/learning-only stays non-execution.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,source_reliability_governor,ADVISORY_ONLY,sources=15; verdicts=HOLD_SAMPLE=15; sample_gates=INSUFFICIENT_SAMPLE=15; actions=KEEP_ACTIVE_COLLECT_MORE_DATA=15,Advisory only; no automatic source weight changes.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,automation_health,BROKEN,system_status=BROKEN; components=11; severity=BROKEN=1; WARN=1; OK=2; INFO=7; status_counts=MISSING=1; OK=3; WAITING_OR_NOT_RUN=3; CONFIG_EXPECTED=4,"If BROKEN, fix workflow/input before talking picks.",NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,next_triggers_rechecks,DIAGNOSTIC,triggers=3,Use scheduled workflows or trigger bridge; no betting execution.,NO,NO
2026-06-08,2026-06-08T19:12:47+01:00,date_coherence_guard,DATE_MISMATCH_BLOCK,board_status=daily_board_md=MISSING_CORE; daily_board_csv=MISSING_CORE; mismatch_count=2; missing_core_count=2; trigger_date_counts=2026-06-05=2,Fix trigger/artifact date mismatch before using market signals.,NO,NO
2026-06-08,2026-06-08T19:12:47+01:00,upstream_board_input_diagnostic,UPSTREAM_MISSING,first_empty_required_component=real_objective_context_gate; forecast_rows=0; translator_rows=0; board_rows=0,Build missing required upstream component first: real_objective_context_gate.,NO,NO
2026-06-08,2026-06-08T19:12:47+01:00,real_shortlist_recovery_diagnostic,SCORING_SOURCE_EMPTY_FOR_DATE,root_cause=scored source exists but has no rows for target date; root_scored_same_day_rows=0; real_shortlist_rows=0; real_bet_rows=0; proxy_rows=0,Refresh/fix scoring source date coverage.,NO,NO
2026-06-08,2026-06-08T19:12:47+01:00,local_raw_fixture_discovery,LOCAL_RAW_CANDIDATES_FOUND,files_scanned=1480; accepted_rows=70; rejected_rows=0,"Review accepted rows, then feed normal scoring gates.",NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,raw_candidate_trust_gate,REJECTED_SOURCE_BLOCK=70,rows_reviewed=70; trusted_rows=0; blocked_rows=70; quarantine_rows=0,Only TRUSTED_RAW_SOURCE rows may be considered for scoring; quarantine/rejected rows remain diagnostic only.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,trusted_raw_candidate_promotion_gate,NOT_TRUSTED_NO_PROMOTION=70,rows_reviewed=70; promoted_rows=0; blocked_rows=0; quarantine_rows=0,No promotion unless TRUSTED_RAW_SOURCE has non-blocked scored data. Keep No Bet for blocked rows.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,scoring_gap_explainer,NOT_TRUSTED_SKIPPED=70,missing_scored_rows=0; no_data_blocked_rows=0; not_trusted_rows=70; promoted_rows=0,Repair scoring/enrichment for trusted raw candidates; no market discussion until rows are scored and non-blocked.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,trusted_raw_scoring_queue,none,queue_rows=0; priority_counts=none; scoring_needed_counts=none,Use this queue as the explicit input list for a future scoring/enrichment repair stage. Do not create picks from queue rows.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,queue_to_enrichment_dry_run,none,rows_planned=0; risk_label_counts=none; estimated_units=0; api_calls_executed=NO,Review dry-run plan and explicitly approve any future enrichment/API stage. No calls executed here.,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,enrichment_cost_approval_gate,NO_ENRICHMENT_NEEDED,estimated_call_units=0; approval_required=NO; api_calls_allowed=NO; api_calls_executed=NO,UNKNOWN,NO,NO
2026-06-08,2026-06-08T19:12:49+01:00,daily_board_self_heal,EMPTY_BY_PROMOTION_GATE,promoted_rows=0; board_rows_written=1_DIAGNOSTIC_ROW; reason=0 promoted raw candidates; no scoring-safe rows available,UNKNOWN,NO,NO
