target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-08-11,2026-08-11T19:12:29+01:00,1494240,Allsvenskan,Sweden,Vasteras SK FK,Djurgardens IF,,data/processed/governance/vsigma_api_enriched_fixture_results_refresh.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607170,,,Kairat Almaty,Levski Sofia,,data/processed/governance/vsigma_shadow_candidates.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1547760,CONMEBOL Libertadores,World,Fluminense,Independ. Rivadavia,2026-08-11T23:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1598827,UEFA Champions League,World,Bodo/Glimt,Union St. Gilloise,2026-08-11T17:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1605371,UEFA Champions League,World,Celje,Ararat-Armenia,2026-08-11T19:15:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607169,UEFA Champions League,World,FK Crvena Zvezda,Hapoel Beer Sheva,2026-08-11T19:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607171,UEFA Champions League,World,Kauno Žalgiris,Dinamo Zagreb,2026-08-11T18:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1598828,UEFA Champions League,World,Lyon,Sparta Praha,2026-08-11T20:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1598829,UEFA Champions League,World,NEC Nijmegen,Olympiakos Piraeus,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607172,UEFA Champions League,World,Sabah FA,Aarhus,2026-08-11T17:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607173,UEFA Champions League,World,Slovan Bratislava,Mjallby AIF,2026-08-11T19:15:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607174,UEFA Champions League,World,Sturm Graz,Fenerbahçe,2026-08-11T19:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607601,UEFA Europa Conference League,World,Apollon Limassol,Brann,2026-08-11T18:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607603,UEFA Europa Conference League,World,CSKA 1948,Panathinaikos,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607180,UEFA Europa League,World,Saburtalo,Larne,2026-08-11T17:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1607648,CONMEBOL Sudamericana,World,Boca Juniors,Deportivo Recoleta,2026-08-11T23:00:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1600305,Premier Soccer League,South-Africa,Chippa United,Richards Bay,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1600306,Premier Soccer League,South-Africa,Marumo Gallants,Kruger United,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1600307,Premier Soccer League,South-Africa,Polokwane City,Stellenbosch,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1600308,Premier Soccer League,South-Africa,TS Galaxy,Mamelodi Sundowns,2026-08-11T18:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-08-11,2026-08-11T19:12:29+01:00,1520801,Serie B,Brazil,Avai,CRB,2026-08-11T23:30:00+01:00,data/processed/matches_league_filtered.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
