target_date,generated_at,component,status,severity,detail,action_required,source_guard,auto_apply,production_change
2026-06-19,2026-06-19T18:08:10+01:00,daily_execution_board,OK,OK,rows=0; decisions=NO_BET=0,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,prelock_live_recheck,OK,WARN,decisions=CANCELLED_NO_BET=1,REVIEW_PRELOCK_LIVE,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,live_trigger_validator,OK,OK,windows=none; triggers=none,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,postmatch_results_refresh,OK,OK,FT=10; NS=80; PEN=1; 2H=6; HT=1; 1H=8; PST=1,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,postmatch_stat_actuals,OK,OK,rows_final=11,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,forecast_calibration,OK,OK,detail_rows=0; statuses=none,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,calibration_memory_ledger,OK,OK,global ledger exists,NO,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,daily_workflow_v2,CONFIG_EXPECTED,INFO,vsigma_daily_decision_chain_v2.yml active externally,CHECK_GH_WORKFLOW_LIST_IF_NEEDED,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,prelock_workflow,CONFIG_EXPECTED,INFO,vsigma_prelock_live_recheck.yml expected active,CHECK_GH_WORKFLOW_LIST_IF_NEEDED,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,live_trigger_workflow,CONFIG_EXPECTED,INFO,vsigma_live_trigger_validator.yml expected active,CHECK_GH_WORKFLOW_LIST_IF_NEEDED,DATED_INPUT_ONLY,NO,NO
2026-06-19,2026-06-19T18:08:10+01:00,postmatch_workflow,CONFIG_EXPECTED,INFO,vsigma_full_post_match_learning_chain.yml expected active,CHECK_GH_WORKFLOW_LIST_IF_NEEDED,DATED_INPUT_ONLY,NO,NO
