target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-10,2026-06-14T11:40:28+01:00,1548055,Malaga,Las Palmas,Segunda División,Spain,2026-06-10T19:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,1,1,1,0,1,,,,,YES,34,1,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1546281,Cape Town City,Magesi,Premier Soccer League,South-Africa,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,1,1,1,1,0,,,,,YES,34,2,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1530591,Neptūną Klaipėda,Transinvest 2,1 Lyga,Lithuania,2026-06-10T16:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,0,3,0,1,0,,,,,YES,34,3,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1543393,Fjardabyggd / Leiknir,Fjolnir,2. Deild,Iceland,2026-06-10T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,3,2,3,1,0,,,,,YES,34,4,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1543391,Haukar,Kormákur / Hvöt,2. Deild,Iceland,2026-06-10T19:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,2,2,2,0,2,,,,,YES,34,5,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1543396,Thróttur Vogar,Vikingur Olafsiik,2. Deild,Iceland,2026-06-10T19:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,2,1,2,0,1,,,,,YES,34,6,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1542167,Damash Gilanian,Mes Shahr-e Babak,Azadegan League,Iran,2026-06-10T13:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,7,0,7,0,1,,,,,YES,34,7,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1542173,Naft Bandar Abbas,Shahrdari Noshahr,Azadegan League,Iran,2026-06-10T14:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,34,8,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1542025,Blumenau,Jaraguá,Catarinense - 2,Brazil,2026-06-10T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,6,0,6,0,4,0,,,,,YES,34,9,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550653,Dikaki,Cercle Mbéri,Championnat D1,Gabon,2026-06-10T14:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,4,1,4,0,2,,,,,YES,34,10,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550655,Mangasport,Bouenguidi,Championnat D1,Gabon,2026-06-10T14:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,2,3,2,1,0,,,,,YES,34,11,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550657,Stade Mandji,Lozo,Championnat D1,Gabon,2026-06-10T14:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,5,1,5,1,0,0,,,,,YES,34,12,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1544586,Brasil DE Pelotas,Farroupilha,Copa Gaúcha,Brazil,2026-06-10T22:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,4,0,4,0,3,0,,,,,YES,34,13,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1512951,Aigle Royal de Moungo,PWD Bamenda,Elite One,Cameroon,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,34,14,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1512955,Colombe,Jeunes Fauves,Elite One,Cameroon,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,34,15,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1512956,Fortuna Mfou,Stade Renard,Elite One,Cameroon,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,34,16,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1512957,Gazelle,Cotonsport,Elite One,Cameroon,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,34,17,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1526555,Gualaceo SC,Cumbayá,Liga Pro Serie B,Ecuador,2026-06-10T20:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,34,18,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1526556,Ind. Juniors,Deportivo Cuenca Juniors,Liga Pro Serie B,Ecuador,2026-06-10T20:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,4,0,4,0,3,0,,,,,YES,34,19,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1544783,Tupan,São José MA,Maranhense - 2,Brazil,2026-06-14T12:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,34,20,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550040,Amawele,Madlenya,Premier League,Eswatini,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,1,0,1,0,1,,,,,YES,34,21,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550041,Viva Stumbo,Magwanyana,Premier League,Eswatini,2026-06-10T15:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,1,0,1,,,,,,,YES,34,22,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1495293,Dynamos,Hunters,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,2,2,2,0,0,,,,,YES,34,23,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1495299,Kariba,Herentals,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,34,24,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1495296,Platinum,Hardrock,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,34,25,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1495298,Simba Bhora,Ngezi Platinum,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,34,26,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550666,Afrique Football Élite,ASKO,Première Division,Mali,2026-06-10T16:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,5,3,5,3,3,1,,,,,YES,34,27,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550667,Onze Créateurs,Bakaridjan,Première Division,Mali,2026-06-10T16:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,34,28,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1531060,Shortan,Gazalkent,Pro League A,Uzbekistan,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,2,0,2,0,0,,,,,YES,34,29,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1524029,WDSC Wolves,Eastern Suburbs,Queensland NPL,Australia,2026-06-16T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,34,30,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1497597,Orebro SK,GIF Sundsvall,Superettan,Sweden,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,1,0,1,0,0,,,,,YES,34,31,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1497600,Varbergs BoIS FC,Norrby IF,Superettan,Sweden,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,0,2,0,1,0,,,,,YES,34,32,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550668,Excelsior Maassluis,Ijsselmeervogels,Tweede Divisie,Netherlands,2026-06-10T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,1,2,1,1,0,,,,,YES,34,33,NO,NO
2026-06-10,2026-06-14T11:40:28+01:00,1550634,Pirmasens,VfR Mannheim,Oberliga - Promotion Round,Germany,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,1,0,1,0,0,,,,,YES,34,34,NO,NO
