target_date,generated_at,section,status,detail,next_action,auto_apply,production_change
2026-06-21,2026-06-21T17:54:10+01:00,operator_gate,NONE,action=NONE; final=NO_OPERATOR_ACTION; risk=NONE; health=ATTENTION; board_rows=6,Use this as the first read; never override BROKEN/NO_BET gates.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,executable_prematch,NONE,no prematch executable rows,"Only rows here can be discussed as prematch executable, still manual-only.",NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,live_only,NONE,no live-only rows,Wait for live trigger confirmation; no chase outside window.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,watchlist,NONE,no watchlist rows,Observation only unless promoted by later gates.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,no_bet,ROWS=6,count=6; top=#1 | NO_BET | CRB vs Fortaleza EC | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42; #2 | NO_BET | Goias vs Operario-PR | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42; #3 | NO_BET | São Bernardo vs Juventude | market=NO_CLEAR_STAT_MARKET | stake=NO_STAKE | permission=NO | conf=LOW | score=-42,Do not fill ranking from blocked rows.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,api_coverage,OK,rows=6; source_guard=DATED_INPUT_ONLY; API_COVERAGE_GATE_V2=6; permission=NO=6; avg_coverage=17.5; warnings=PARTIAL_RECENT_STATS=6; SHOT_SAMPLE_WEAK=6; CORNER_SAMPLE_WEAK=6; CARD_SAMPLE_WEAK=6,Coverage gaps block promotion; do not infer missing data.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,official_probable_lineups,OK,files=3; rows=64; statuses=UNKNOWN=1; LEARNING_ONLY=1; IMPORTED=6,Probables do not become official; quarantine/learning-only stays non-execution.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,source_reliability_governor,ADVISORY_ONLY,sources=15; verdicts=HOLD_SAMPLE=15; sample_gates=INSUFFICIENT_SAMPLE=15; actions=KEEP_ACTIVE_COLLECT_MORE_DATA=15,Advisory only; no automatic source weight changes.,NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,automation_health,ATTENTION,system_status=ATTENTION; components=11; severity=OK=6; WARN=1; INFO=4; status_counts=OK=7; CONFIG_EXPECTED=4,"If BROKEN, fix workflow/input before talking picks.",NO,NO
2026-06-21,2026-06-21T17:54:10+01:00,next_triggers_rechecks,DIAGNOSTIC,triggers=3,Use scheduled workflows or trigger bridge; no betting execution.,NO,NO
