league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
11,CONMEBOL Sudamericana,World,2026,Cup,1,2026-03-03,2026-05-29,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:06.249431+00:00
13,CONMEBOL Libertadores,World,2026,Cup,1,2026-02-04,2026-05-29,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:06.652769+00:00
78,Bundesliga,Germany,2025,League,1,2025-08-22,2026-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:07.048152+00:00
88,Eredivisie,Netherlands,2025,League,1,2025-08-08,2026-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:07.453235+00:00
113,Allsvenskan,Sweden,2026,League,1,2026-04-04,2026-11-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:07.847847+00:00
119,Superliga,Denmark,2025,League,1,2025-07-18,2026-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:08.247530+00:00
144,Jupiler Pro League,Belgium,2025,League,1,2025-07-25,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:08.641836+00:00
179,Premiership,Scotland,2025,League,1,2025-08-02,2026-05-25,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:09.050906+00:00
207,Super League,Switzerland,2025,League,1,2025-07-25,2026-05-21,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:09.449368+00:00
233,Premier League,Egypt,2025,League,1,2025-08-08,2026-05-28,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-20T23:50:09.841686+00:00
917,Copa Ecuador,Ecuador,2025,Cup,1,2026-04-07,2026-06-04,1,0,0,1,1,0,0,1,0,1,1,1,1,COVERAGE_THIN,0,0.55,OFFICIAL_API,,2026-05-20T23:50:10.244783+00:00
