target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-05,2026-06-08T14:58:32+01:00,1548053,Las Palmas,Malaga,Segunda División,Spain,2026-06-07T19:00:00+00:00,FT,61,MEDIUM_SIGNAL_REVIEW,prediction_winner=Malaga | pred_total_home_away=47.7/52.3 | 1x2=2.22/3.05/3.40 | ou2.5=2.20/1.65,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1548052,Castellón,Almeria,Segunda División,Spain,2026-06-06T19:00:00+00:00,FT,10,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514196,HK Kopavogur,Afturelding,1. Deild,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514197,Njardvik,IR Reykjavik,1. Deild,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514195,Ægir,Leiknir R.,1. Deild,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1543386,Hvíti riddarinn,Haukar,2. Deild,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1543385,Kormákur / Hvöt,Magni,2. Deild,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513482,JS Kabylie,CR Belouizdad,Ligue 1,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513489,JS Saoura,CS Constantine,Ligue 1,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513484,MC Alger,ASO Chlef,Ligue 1,,,,0,WEAK_SIGNAL,,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1541272,Guarulhos,Paulínia FU,Paulista Série B,,,,60,MEDIUM_SIGNAL_REVIEW,prediction_winner=Guarulhos | pred_total_home_away=66.3/33.7,BLOCKED_NOT_SCORING_READY,NO_PROMOTION_PERMISSION,ADAPTER_BLOCKED_NOT_READY,Promotion input is not ready for review-only adapter.,NO_DOWNSTREAM_USE,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
