date_utc,logged_at_utc,state,recommended_mode,should_adjust_weights,evaluated_predictions,positive_cards,card_rate_real,brier_original,brier_adjusted_cumulative,brier_adjusted_pre_fixture,delta_brier_cumulative,delta_brier_pre_fixture,logloss_original,logloss_adjusted_cumulative,logloss_adjusted_pre_fixture,delta_logloss_cumulative,delta_logloss_pre_fixture,fraction_of_4g_gain_surviving,average_adjustment_size,count_subir,count_bajar,count_neutro,real_rate_subir,real_rate_bajar,real_rate_neutro,verdict
2026-06-29,2026-06-29T17:28:54+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,418,39,0.0933,0.09307,0.09177,0.09297,-0.0013,-0.0001,0.33359,0.32903,0.33315,-0.00456,-0.00044,0.077,0.0029,114,79,225,0.1228,0.038,0.0978,ajuste como shadow neutral — no aporta señal real todavía
2026-06-30,2026-06-30T16:50:04+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,484,46,0.095,0.09605,0.09476,0.0958,-0.0013,-0.00025,0.34461,0.34002,0.34396,-0.00459,-0.00066,0.192,0.003,120,98,266,0.125,0.0408,0.1015,ajuste como shadow neutral — no aporta señal real todavía
2026-07-01,2026-07-01T13:30:41+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,550,50,0.0909,0.0932,0.09178,0.09289,-0.00142,-0.00031,0.33812,0.33323,0.33735,-0.00489,-0.00076,0.218,0.0031,129,113,308,0.1318,0.0442,0.0909,ajuste como shadow neutral — no aporta señal real todavía
2026-07-02,2026-07-02T10:45:53+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,616,55,0.0893,0.0917,0.09032,0.09146,-0.00138,-0.00024,0.33382,0.32903,0.33322,-0.0048,-0.0006,0.174,0.0031,136,130,350,0.125,0.0538,0.0886,ajuste como shadow neutral — no aporta señal real todavía
2026-07-03,2026-07-03T10:41:05+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,682,61,0.0894,0.09262,0.09115,0.09231,-0.00146,-0.00031,0.33612,0.33104,0.33528,-0.00508,-0.00084,0.212,0.0032,142,149,391,0.1197,0.047,0.0946,ajuste como shadow neutral — no aporta señal real todavía
2026-07-04,2026-07-04T14:12:40+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,748,65,0.0869,0.09153,0.09005,0.09122,-0.00148,-0.00031,0.33315,0.32805,0.33227,-0.00511,-0.00088,0.209,0.0032,155,166,427,0.1161,0.0422,0.0937,ajuste como shadow neutral — no aporta señal real todavía
2026-07-05,2026-07-05T10:17:05+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,792,75,0.0947,0.09644,0.09494,0.09617,-0.0015,-0.00026,0.3463,0.34123,0.34565,-0.00508,-0.00065,0.173,0.0034,157,195,440,0.1146,0.0718,0.0977,ajuste como shadow neutral — no aporta señal real todavía
2026-07-06,2026-07-06T12:09:26+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,836,80,0.0957,0.09727,0.09585,0.09701,-0.00143,-0.00026,0.34769,0.34279,0.34698,-0.0049,-0.0007,0.182,0.0035,162,210,464,0.1173,0.0714,0.0991,ajuste como shadow neutral — no aporta señal real todavía
2026-07-07,2026-07-07T15:59:30+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,880,83,0.0943,0.09668,0.09488,0.09623,-0.0018,-0.00044,0.34674,0.34087,0.34575,-0.00587,-0.00099,0.244,0.0043,122,278,480,0.0984,0.0935,0.0938,ajuste como shadow neutral — no aporta señal real todavía
2026-07-08,2026-07-08T10:22:58+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,924,90,0.0974,0.09806,0.09631,0.09758,-0.00175,-0.00048,0.34959,0.3439,0.34846,-0.00569,-0.00113,0.274,0.0044,131,298,495,0.1221,0.0906,0.0949,ajuste como shadow neutral — no aporta señal real todavía
2026-07-10,2026-07-10T10:58:56+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,946,91,0.0962,0.09745,0.09569,0.097,-0.00176,-0.00046,0.34775,0.34202,0.34669,-0.00573,-0.00106,0.261,0.0044,133,308,505,0.1278,0.0877,0.0931,ajuste como shadow neutral — no aporta señal real todavía
2026-07-11,2026-07-11T09:42:14+00:00,SHADOW_NEUTRAL,SHADOW_NEUTRAL,False,968,94,0.0971,0.09848,0.09665,0.09801,-0.00183,-0.00047,0.35083,0.34496,0.34979,-0.00587,-0.00105,0.257,0.0044,134,317,517,0.1269,0.0946,0.0909,ajuste como shadow neutral — no aporta señal real todavía
